id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39599867,Bask in Casita Life | N Central ATX w/Skylight ☀️✨,192792688,Alison,,78753,30.36543,-97.69,Entire home/apt,125,3,119,2022-03-05,7.15,4,157,98,
39622229,"Beautiful Downtown Duplex w/ Patio, Walk to 6th St",124060715,Evolve,,78703,30.27316,-97.75939,Entire home/apt,412,3,10,2022-02-28,1.13,50,121,10,
39628570,Newly Renovated Home ★ Perfect Location ★ 5 Beds,40346191,Blake,,78704,30.2437,-97.77437,Entire home/apt,135,3,18,2021-03-24,0.61,1,0,0,
39632591,"Formula One, $10 Ride Downtown",248505482,Isaac,,78723,30.28779,-97.67834,Private room,85,2,0,,,1,0,0,
39645483,"Quiet, forest view apt - Austin Arboretum",6377862,Nicky,,78759,30.38995,-97.76513,Entire home/apt,34,31,0,,,1,0,0,
39655606,Cozy Texas Townhome Near Downtown and Mueller,132678309,Kellen,,78752,30.32335,-97.68211,Private room,72,1,22,2021-11-26,0.75,1,0,8,
39670499,The Cherrywood Palace,1117115,Cyrus,,78722,30.28478,-97.71796,Entire home/apt,1000,3,17,2021-10-11,0.62,1,358,7,
39671531,Vintage cozy home near downtown,138334018,Tow,,78702,30.25138,-97.72825,Private room,103,1,0,,,2,0,0,
39675747,Prime Austin Location Downtown Staycation,117386831,Edwin,,78702,30.26215,-97.73237,Entire home/apt,160,2,116,2022-03-04,4.04,5,65,60,
39678647,UT Home with FREE breakfast & late checkout,5922827,Carlos,,78705,30.29119,-97.72927,Entire home/apt,750,2,18,2021-09-19,0.63,1,298,10,
39687948,Barton Hills Beauty,305034457,Rachel,,78704,30.25183,-97.78746,Entire home/apt,200,60,3,2019-12-20,0.10,1,0,0,
39691223,3 B / 2 BA House in East Austin,305054710,Morgan,,78721,30.28065,-97.67784,Entire home/apt,250,30,25,2021-12-21,0.88,1,39,4,
39702506,"CasaAzul Austin 1BR, 1BTH, Sleeps 4",305150874,Robert,,78723,30.30333,-97.67797,Entire home/apt,265,3,1,2022-03-01,1,1,330,1,
39717385,Greenbelt Gem Suite,170465200,Welcome,,78749,30.20407,-97.84461,Private room,93,7,8,2020-07-15,0.27,18,0,0,
39723814,Downtown Walkable Studio (30 day min),300189362,Mary,,78703,30.27485,-97.75331,Entire home/apt,65,30,5,2022-02-20,0.21,2,174,3,
39727065,Adorable 2 bedroom in the heart of south Austin!,106810277,Allison,,78745,30.20966,-97.78188,Entire home/apt,316,2,10,2022-01-30,0.37,1,47,8,
39731256,"Modern, Serene Studio in Hip East Austin",49815952,Isabelle & Matthew,,78702,30.26691,-97.69773,Entire home/apt,243,2,198,2022-03-04,6.90,1,97,85,
39745252,East Austin Tree House,9552544,Gretchen (And John),,78702,30.26719,-97.71815,Entire home/apt,161,30,41,2021-12-28,1.50,2,34,5,
39750224,Peaceful McKinney Falls Home,65823480,Andrew,,78744,30.20039,-97.69525,Entire home/apt,350,5,0,,,1,0,0,
39752309,Private refuge near Downtown available long term.,305533684,Sheri,,78704,30.24983,-97.74059,Entire home/apt,125,3,37,2022-03-07,1.31,1,101,11,
39753269,Elegant Retreat | 2 Blocks to East 6th Street,4868857,Jillian,,78702,30.25691,-97.71883,Entire home/apt,480,1,267,2022-03-10,9.26,5,308,101,
39772853,WanderJaunt | Julius | 1BR | South Congress,104309976,WanderJaunt,,78745,30.2101,-97.77235,Entire home/apt,228,1,37,2022-03-07,1.29,194,252,14,
39777435,Greenbelt Oasis Room,170465200,Welcome,,78749,30.20407,-97.84314,Private room,91,7,8,2020-06-27,0.28,18,0,0,
39820546,Domain My Capital Housing 2,306354806,My Capital Housing,,78758,30.40338,-97.72178,Entire home/apt,127,1,86,2022-02-06,3.01,3,31,51,
39824078,austinite apartment,163778032,Lauren,,78751,30.315998898372893,-97.71379814371653,Entire home/apt,244,1,0,,,1,360,0,
39833370,Garden Pad for 10+! Built for LOTS of FUN,4912146,Deacon,,78756,30.32013,-97.73087,Entire home/apt,515,2,57,2022-01-20,2.04,22,243,25,
39857022,Cool Groove Guesthouse,34049870,Jacqueline,,78723,30.28975,-97.67133,Entire home/apt,299,4,25,2022-03-02,0.88,2,273,9,
39867825,Hyde Park Hideaway,307004213,Erik & Kelly,,78751,30.30356,-97.72952,Entire home/apt,176,2,47,2022-02-26,1.83,1,179,35,
39982383,Amora| 2 Bed Apartment| Great View| The Domain,303976381,Amora,,78758,30.40358,-97.72359,Entire home/apt,200,2,132,2022-02-22,4.96,2,131,62,
39871051,Beautiful 1B 1B in West Campus,267854797,Mo,,78705,30.28402,-97.747,Private room,57,30,3,2021-07-11,0.28,31,296,3,
39872391,"Experience ATX, 4 miles 2 DT, Walk 2 Beer & Wine",287246763,Skye,,78745,30.22575,-97.78905,Entire home/apt,259,3,26,2022-02-20,0.94,1,31,9,
39889185,★ Walk Downtown! Modern Luxury Living ★,117386831,Edwin,,78702,30.26221,-97.73239,Entire home/apt,1083,2,79,2022-03-04,2.77,5,71,38,
39912188,Firehouse Hostel - Private Suite,307543433,Firehouse Hostel,,78701,30.2693,-97.74147,Private room,236,1,32,2022-02-15,1.27,4,255,11,
39912567,Tracy Nice room,270061609,Tracy,,78754,30.35431,-97.64201,Private room,55,1,3,2020-02-09,0.11,4,99,0,
39912762,Firehouse Hostel- Private Euro Room,307543433,Firehouse Hostel,,78701,30.26698,-97.74157,Private room,186,1,25,2022-02-19,0.94,4,268,12,
39913412,Firehouse Hostel - Female Dorm,307543433,Firehouse Hostel,,78701,30.26745,-97.74005,Shared room,58,1,65,2022-02-24,2.38,4,292,57,
39913682,Firehouse Hostel - Dorm Bed,307543433,Firehouse Hostel,,78701,30.26919,-97.74214,Shared room,58,1,255,2022-02-26,9.25,4,295,199,
39922676,WanderJaunt | Sendero | 3BR | East MLK,104309976,WanderJaunt,,78721,30.28016,-97.67575,Entire home/apt,297,1,102,2022-03-06,3.59,194,19,39,
39924667,Bright & simple room PERFECT for budget travelers,196244197,Gunnar,,78751,30.31134,-97.71831,Private room,40,1,9,2020-03-12,0.32,1,0,0,
39927210,The Rainey Street View Suite - Walk Score is 96!!!,4929310,Ryan,,78701,30.26636,-97.74173,Entire home/apt,229,1,44,2022-01-22,1.56,27,252,27,
39928045,The Aria Loft on 4th Street with Balcony and Views,4929310,Ryan,,78701,30.26584,-97.73974,Entire home/apt,406,1,36,2022-02-20,1.27,27,239,18,
39928385,The Pecan Street Suite at the Convention Center,4929310,Ryan,,78701,30.26493,-97.74084,Entire home/apt,158,1,37,2022-02-26,1.31,27,249,18,
39928623,The One and Only San Jacinto Suite in Downtown,4929310,Ryan,,78701,30.26623,-97.74085,Entire home/apt,391,1,33,2022-02-26,1.19,27,239,18,
39928813,The Marfa Suite in Downtown Austin's City Center,4929310,Ryan,,78701,30.26649,-97.74236,Entire home/apt,158,1,37,2022-02-20,1.31,27,202,18,
39938717,Charming Tiny Loft House in East Austin,2930753,Karyn,,78702,30.25328,-97.72244,Entire home/apt,250,1,200,2022-03-10,7.03,1,53,88,
39941627,3.5 miles to Downtown Cute S. Austin Bungalow,55754089,Lauren,,78745,30.22696,-97.7843,Entire home/apt,129,2,0,,,1,0,0,
39948741,Bouldin Creek Retreat with Private Yard & Rooftop Deck - Near SoCo,109638288,Vacasa Texas,,78704,30.25165,-97.7593,Entire home/apt,683,2,29,2022-01-16,1.13,82,294,14,
39949805,Cute Austin Apartment With Guest Room,307965815,Michael,,78759,30.40264,-97.74912,Private room,30,1,1,2019-11-10,0.03,1,0,0,
39967052,Private Bed & bath close to UT Austin - FEmale,37900136,Adam,,78705,30.29175,-97.74404,Private room,69,60,0,,,1,0,0,
39967089,The Guild The Bronx,308133660,Guild,,78746,30.25778,-97.78788,Entire home/apt,250,1,0,,,1,0,0,
39971208,"Opulent West Lake Retreat: Private Pool, Spa, Outdoor Kitchen, Game Room, Gym",109638288,Vacasa Texas,,78746,30.26707,-97.79545,Entire home/apt,1682,2,4,2021-08-15,0.21,82,362,2,
39974185,"Tiny House, Big Personality",1411717,Robbie,,78705,30.29541,-97.73452,Entire home/apt,217,1,166,2022-02-23,5.90,3,207,93,
39985463,"Downtown Austin Home, 1 Mile to South Congress Ave",124060715,Evolve,,78701,30.27259,-97.74972,Entire home/apt,276,3,2,2020-06-14,0.08,50,1,0,
39985546,"NEW! Downtown Austin Apt w/Patio, Perfect for Two!",124060715,Evolve,,78701,30.27268,-97.75012,Entire home/apt,138,3,2,2020-02-03,0.07,50,0,0,
39993615,The Congress Avenue Suite 3/2 with Pool/Free Park,4929310,Ryan,,78701,30.26641,-97.74149,Entire home/apt,190,1,53,2022-02-20,1.92,27,160,36,
40004230,Mueller! Close to Everything!,1831800,Nick,,78723,30.29994,-97.701,Entire home/apt,795,3,2,2021-10-25,0.20,1,5,2,
40008802,Cozy Home near Downtown,177029260,Masroor,,78724,30.27727,-97.63163,Entire home/apt,150,1,1,2019-12-08,0.04,1,0,0,
40012714,West 6th Street Mansion | Walk Everywhere,302142399,Brian,,78703,30.27403,-97.75897,Entire home/apt,1138,2,38,2021-09-02,1.34,7,49,3,
40012945,6th Street Mansion + Cottage | Walk Everywhere,302142399,Brian,,78703,30.27511,-97.75936,Entire home/apt,1215,3,39,2022-02-27,1.52,7,199,31,
40014417,ATX Capital View Penthouse,98428371,Cari,,78703,30.27862,-97.77014,Entire home/apt,685,3,62,2022-02-27,2.48,1,133,39,
40032648,Austin Holiday Home,308753356,Alison,,78724,30.29977,-97.64258,Entire home/apt,100,2,4,2020-03-20,0.14,2,0,0,
40039365,"Swanky East-Side Sanctuary, Short Walk to Downtown, Rainey St Restaurants & Bars. Free WiFi, Parking",177821967,ITrip Vacations,,78702,30.26052,-97.73164,Entire home/apt,1021,2,1,2021-09-13,0.16,30,349,1,
40061334,WanderJaunt | Adina | 1BR | North Burnet,104309976,WanderJaunt,,78758,30.40268,-97.72373,Entire home/apt,265,1,41,2022-01-29,1.47,194,247,23,
40061514,Spacious Spot in Central Austin ~ 10 mins from DT!,78156116,ATX Rentals,,78723,30.31803,-97.69654,Entire home/apt,126,30,1,2019-11-25,0.04,4,153,0,
40062894,LIVE IN COLOR! Sleep 14 + w/10beds &a private yard,4912146,Deacon,,78751,30.31839,-97.72939,Entire home/apt,520,2,55,2022-01-30,1.95,22,314,17,
40063186,1935 Renovated Farm House,309032950,Bryan R,,78748,30.14182,-97.82932,Private room,62,2,0,,,1,0,0,
40063678,WanderJaunt | Charisse | 1BR | North Burnet,104309976,WanderJaunt,,78758,30.40485,-97.71921,Entire home/apt,201,1,41,2022-02-28,1.52,194,165,17,
40066388,SoLa Modern Condo; Near Downtown & Heart of City,27974581,Sumrah,,78704,30.24627,-97.77865,Entire home/apt,145,2,7,2021-11-14,0.27,1,0,6,
40067207,The ACL Suite on 4th Street - Park Free/Pool/Walk,4929310,Ryan,,78701,30.26584,-97.74169,Entire home/apt,324,1,29,2022-02-19,1.03,27,242,19,
40071081,Starry luxury cozy master bedroom,23470618,Aref,,78754,30.37235,-97.65292,Private room,26,14,0,,,1,0,0,
40082712,The Sojourn by Lodgewell>>Chic Architectural Gem,15782486,Lodgewell,,78704,30.23835,-97.76378,Entire home/apt,275,30,3,2022-02-14,0.16,38,155,2,
40093183,Secluded Urban Studio in the ❤ of S. Austin,149326566,Renon,,78704,30.25008,-97.76966,Entire home/apt,95,2,23,2021-12-21,0.87,1,0,7,
40094629,West 6th Street Cottage | Walk Everywhere,302142399,Brian,,78703,30.27399,-97.76115,Entire home/apt,351,2,34,2021-09-23,1.21,7,49,1,
40097030,Cozy and warm condo with lots of space and privacy,74821547,Hai-Shan,,78750,30.4363,-97.7776,Private room,9998,5,3,2020-05-02,0.11,1,179,0,
40110806,"New! Modern Farmhouse Studio~5 Mi dwntwn, Private!",161886140,Kristina,,78741,30.218478429186884,-97.73752191431251,Entire home/apt,143,1,216,2022-03-09,7.70,1,66,121,
40110899,***NEW*** POOL | HOT TUB | POOL TABLE | BASKETBALL | 16 Queen Beds | Fire Pit,152608759,Tracey,,78737,30.20055,-97.92573,Entire home/apt,2138,1,20,2022-02-13,0.86,11,300,8,
40112921,WanderJaunt | Hamer | 1BR | South Congress,104309976,WanderJaunt,,78745,30.21049,-97.77286,Entire home/apt,249,1,49,2022-02-27,1.86,194,10,31,
40133718,Cozy East Side Bungalow,233892049,Alice,,78702,30.24979,-97.72281,Entire home/apt,200,1,2,2019-12-01,0.07,3,0,0,
40138375,Charming Family Home in the Heart of Mueller,25370161,Julie,,78723,30.29266,-97.7005,Entire home/apt,525,3,7,2021-11-27,0.25,1,38,2,
40513392,Rosita’s suite.,182777829,Rosa,,78754,30.40297,-97.63938,Private room,70,1,47,2022-02-27,2.49,1,2,42,
40514778,The Blue Room.  ...serene space in a 3/1 house,69191999,Chi,,78705,30.29621,-97.74631,Private room,104,3,3,2020-08-20,0.12,4,118,0,
40534273,2 bedroom 2 bath in Westlake,22647318,National Corporate Housing-Houston,,78746,30.34615,-97.79916,Entire home/apt,30,3,0,,,11,0,0,
40536667,Sonder at The Catherine | Two-Bedroom Apartment w/ Balcony,219500569,Sonder (Austin),,78704,30.25889,-97.74881,Entire home/apt,556,2,36,2022-02-07,1.34,30,318,23,
40536783,Sonder at The Catherine | One-Bedroom Apartment w/ Balcony,219500569,Sonder (Austin),,78704,30.26073,-97.74863,Entire home/apt,526,2,19,2022-02-12,0.70,30,325,9,
40536835,Backpackers Retreat- 2 BHK near UT Austin,113492522,Sreshta,,78701,30.28112,-97.74629,Private room,20,1,1,2019-12-14,0.04,1,0,0,
40151370,Quiet private bedroom & bathroom right by UT,1300431,Yogesh,,78705,30.29472,-97.72647,Private room,98,2,13,2022-03-06,0.48,1,39,3,
40159447,Min 30 days Austin Parking Home Office Kitchen 9,49009585,Roopa,,78717,30.48881,-97.78992,Private room,39,30,14,2021-10-08,0.50,9,40,2,
40159535,🌱 Hip Zilker Space | Full Kitchen | Quiet Retreat,7270902,Meshelle,,78704,30.25342,-97.77137,Entire home/apt,261,1,148,2022-03-04,5.67,18,3,61,
40163284,Shinning 1 bed &1 bath apartment near the domain,123972384,Sheama,,78727,30.43823,-97.73667,Entire home/apt,60,2,4,2020-03-09,0.14,1,0,0,
40171545,Stylish Modern Studio (East Austin),308156990,Roberto,,78722,30.28522,-97.71155,Entire home/apt,148,2,21,2022-02-20,0.75,1,147,14,
40173178,A Room with a View,310182066,Shellie,,78734,30.39545,-97.91784,Private room,115,1,178,2022-02-27,6.41,1,48,82,
40173703,Beautiful House! - 4 minute ride to Rainey Street!,11915652,Roel,,78702,30.25219,-97.72517,Entire home/apt,999,3,38,2022-02-21,1.38,3,148,27,
40175923,"Austin, TX, 2-Bedroom SN #2",10981379,Jan,,78701,30.27164,-97.74757,Entire home/apt,332,1,0,,,24,6,0,
40177659,Bright & Modern Eastside Studio  near airport & DT,36075426,Colleen,,78721,30.2546,-97.68584,Entire home/apt,152,1,29,2021-12-21,1.04,27,71,11,
40182120,South Congress Condo - The Treehouse,11491858,Daniela,,78704,30.24802,-97.74862,Entire home/apt,350,1,13,2021-01-07,0.47,1,0,0,
40200520,Elegant Arty 2BR - Great area. Walk to coffee,3743639,Amy,,78723,30.31356,-97.69449,Entire home/apt,60,3,1,2019-12-01,0.04,2,0,0,
40200699,"House for big groups in heart of 78704, 30day min.",3328356,Skyler,,78704,30.24425,-97.77323,Entire home/apt,250,30,1,2020-03-24,0.04,1,327,0,
40211246,"★Luxurious & Spacious, 15min to DT🎶  5min to COTA🏁",88709617,Ericka,,78744,30.16292,-97.72589,Entire home/apt,766,2,11,2021-10-25,0.39,1,42,4,
40213349,Authentic Austin Smart Condo,310554538,Sammy,,78753,30.35324,-97.68529,Entire home/apt,158,2,5,2020-03-09,0.18,5,0,0,
40214228,Spacious Condo with pool and close to everything,310554538,Sammy,,78753,30.35327,-97.6872,Entire home/apt,368,2,8,2022-02-25,0.31,5,262,3,
40215097,Modern and Convenient Downtown Suite,295422299,Ana,,78701,30.26429,-97.74799,Entire home/apt,484,2,16,2022-02-27,4.90,2,56,16,
40225615,Modern Bungalow in South Austin!,6836046,Pb,,78745,30.22068,-97.78542,Entire home/apt,500,90,0,,,1,359,0,
40227059,Females Only - Clean Double Twin Beds,22531936,Dawn,,78741,30.2244,-97.72347,Private room,106,3,27,2022-02-22,1.08,3,83,21,
40232886,"Quiet and Central, ideal for WFH, amenities galore",36075426,Colleen,,78702,30.27653,-97.71685,Entire home/apt,201,7,61,2022-02-26,2.18,27,40,14,
40234877,Master Suite in authentic Austin Condo,310554538,Sammy,,78753,30.35154,-97.68694,Private room,65,14,0,,,5,0,0,
40235283,Serene Hill Country Retreat ~ 17 Mi to Dtwn Austin,124060715,Evolve,,78737,30.21974,-97.96901,Entire home/apt,269,2,2,2020-11-15,0.12,50,35,0,
40235801,Cozy Two-Story Family South-Austin Home,105162482,A.,,78748,30.1749,-97.81036,Entire home/apt,110,4,10,2020-02-02,0.35,1,0,0,
